date,Dhading_Temperature,Dhading_Air_Pressure,Dhading_Wind_Speed,Dhading_Precipitation,Dhading_Rainfall_MM,Kathmandu_Temperature,Kathmandu_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kavre_Temperature,Kavre_Air_Pressure,Kavre_Wind_Speed,Kavre_Precipitation,Kavre_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Precipitation,Sarlahi_Rainfall_MM
2022-01-21,6.6,847.8,5.6,0.7,0.7,8.25,867.55,6.3,1.5,1.5,6.25,844.15,5.6,2.5,2.5,15.6,1000.3,9.5,0.0,0.0
2022-01-22,5.95,845.95,6.4,0.0,0.0,7.4,866.0,8.2,0.9,0.9,5.8,842.4,8.7,0.6,0.6,14.2,998.8,8.2,0.1,0.1
2022-01-23,7.9,846.7,9.9,0.5,0.5,9.8,866.4,6.5,0.8,0.8,8.35,843.65,6.6,0.9,0.9,15.75,999.25,18.5,0.1,0.1
2022-01-24,6.2,847.7,5.8,0.0,0.0,7.55,866.9,7.3,0.1,0.1,6.2,843.45,7.3,0.0,0.0,15.2,999.85,8.9,0.0,0.0
2022-01-25,6.2,846.9,8.9,1.3,1.3,8.75,867.1,4.5,2.6,2.6,6.9,843.9,7.8,0.3,0.3,15.8,1000.3,9.7,2.3,2.3
2022-01-26,6.8,848.3,10.1,11.4,11.4,8.15,867.15,6.2,1.8,1.8,5.1,843.7,11.1,0.5,0.5,13.95,1001.8,13.2,0.1,0.1
2022-01-27,5.65,847.8,9.4,0.1,0.1,7.75,867.7,8.2,0.6,0.6,5.0,843.3,9.3,0.6,0.6,13.4,1002.2,15.5,0.0,0.0
2022-01-28,4.6,847.35,9.9,0.0,0.0,7.05,867.45,8.7,0.0,0.0,4.7,843.6,8.0,0.0,0.0,12.45,1002.85,15.9,0.0,0.0
2022-01-29,4.8,849.05,8.4,0.0,0.0,8.3,869.5,7.8,0.0,0.0,6.65,845.45,8.4,0.0,0.0,12.8,1003.7,10.9,0.0,0.0
2022-01-30,6.5,845.6,10.5,0.0,0.0,8.75,865.25,8.7,1.0,1.0,6.35,842.15,9.2,0.2,0.2,12.75,999.95,8.2,0.0,0.0
2022-01-31,8.4,847.8,10.0,0.0,0.0,10.1,867.45,7.9,0.6,0.6,8.45,843.75,8.7,0.0,0.0,14.05,1000.0,9.8,0.0,0.0
2022-02-01,6.55,845.35,7.9,0.0,0.0,7.85,864.75,9.2,1.4,1.4,6.2,840.95,9.2,0.9,0.9,13.35,997.15,15.9,0.1,0.1
2022-02-02,5.5,845.95,10.2,0.0,0.0,7.8,865.85,8.5,0.4,0.4,6.3,843.05,7.9,0.0,0.0,14.15,1000.25,15.7,0.0,0.0
2022-02-03,6.85,848.85,6.8,1.7,1.7,9.45,868.75,9.2,2.9,2.9,7.5,845.2,8.4,3.6,3.6,15.45,1000.75,19.5,2.7,2.7
2022-02-04,5.75,845.7,14.4,42.7,42.7,8.85,865.35,14.4,32.4,32.4,5.7,842.3,6.8,17.5,17.5,15.1,997.9,25.1,17.5,17.5
2022-02-05,5.75,846.1,8.6,10.7,10.7,6.65,865.85,6.9,13.3,13.3,5.05,841.75,8.3,12.9,12.9,14.25,1000.1,10.2,9.3,9.3
2022-02-06,5.4,848.4,11.1,0.0,0.0,7.1,868.35,8.1,0.0,0.0,5.5,844.5,8.8,0.0,0.0,13.1,1003.3,10.5,0.0,0.0
2022-02-07,5.85,848.8,12.3,0.0,0.0,8.2,868.65,10.0,0.0,0.0,7.45,845.6,7.7,0.0,0.0,14.85,1003.2,11.3,0.0,0.0
2022-02-08,7.15,848.5,8.9,0.0,0.0,10.45,869.0,10.3,0.1,0.1,7.85,845.0,8.2,0.0,0.0,14.25,1002.2,13.1,0.0,0.0
2022-02-09,7.3,849.8,8.7,0.1,0.1,8.6,869.65,9.3,0.7,0.7,7.25,846.3,10.9,0.5,0.5,15.45,1002.9,12.8,0.0,0.0
2022-02-10,7.65,849.5,9.1,0.2,0.2,9.85,869.7,10.2,3.0,3.0,8.8,846.15,7.4,0.8,0.8,16.15,1001.65,14.4,0.0,0.0
2022-02-11,7.0,847.6,10.1,0.3,0.3,9.65,868.2,7.1,4.1,4.1,7.3,844.25,8.2,2.7,2.7,15.05,1001.6,15.8,0.0,0.0
2022-02-12,6.6,848.15,8.1,0.0,0.0,8.4,867.45,7.1,0.0,0.0,7.8,844.35,8.9,0.0,0.0,15.65,1002.05,9.8,0.0,0.0
2022-02-13,7.4,848.35,11.3,0.0,0.0,9.4,868.4,9.9,0.0,0.0,8.7,845.4,8.4,0.0,0.0,15.2,1001.9,9.4,0.0,0.0
2022-02-14,7.7,848.4,10.7,0.0,0.0,10.7,868.6,8.3,0.0,0.0,9.3,845.6,8.7,0.0,0.0,15.65,1001.25,8.6,0.0,0.0
2022-02-15,8.55,848.75,10.1,0.0,0.0,11.0,869.05,8.6,0.2,0.2,8.7,845.5,7.6,0.7,0.7,16.3,999.85,9.5,0.0,0.0
2022-02-16,8.7,847.25,10.7,0.0,0.0,11.75,867.2,10.0,1.5,1.5,9.3,843.65,7.4,0.7,0.7,17.1,997.45,14.8,0.0,0.0
2022-02-17,8.3,846.15,10.9,0.0,0.0,11.45,866.25,10.4,0.0,0.0,9.25,842.75,9.2,0.8,0.8,16.4,997.9,16.6,0.0,0.0
2022-02-18,8.6,847.0,10.8,0.0,0.0,12.0,867.85,8.7,0.5,0.5,9.7,844.5,7.3,0.5,0.5,16.55,999.7,13.0,0.0,0.0
2022-02-19,8.7,847.15,10.9,0.1,0.1,10.15,867.55,9.8,0.0,0.0,9.85,844.0,10.1,0.1,0.1,15.95,998.9,20.9,0.0,0.0
2022-02-20,7.55,842.75,8.3,8.7,8.7,9.35,862.75,8.0,0.0,0.0,7.7,839.65,9.5,0.8,0.8,15.6,994.9,13.6,0.4,0.4
2022-02-21,6.85,843.2,7.9,0.0,0.0,9.05,863.3,7.5,0.9,0.9,6.25,840.05,8.7,1.0,1.0,15.75,996.3,11.9,0.0,0.0
2022-02-22,7.45,849.1,10.5,0.0,0.0,9.15,868.95,7.9,0.5,0.5,7.55,845.95,7.0,0.2,0.2,17.1,1002.2,14.2,0.0,0.0
2022-02-23,9.45,853.2,6.2,0.0,0.0,10.35,873.0,10.3,0.0,0.0,9.7,849.75,7.9,0.3,0.3,17.65,1004.65,9.6,0.0,0.0
2022-02-24,10.15,852.85,11.5,1.0,1.0,13.75,873.5,7.2,0.6,0.6,11.5,850.25,8.3,0.6,0.6,19.7,1003.25,17.4,0.0,0.0
2022-02-25,9.9,852.55,8.2,3.4,3.4,11.85,873.4,7.0,6.5,6.5,9.85,849.95,8.4,0.6,0.6,19.2,1004.5,17.2,4.2,4.2
2022-02-26,9.7,853.85,9.3,0.0,0.0,11.7,874.0,8.0,0.2,0.2,9.9,850.85,9.7,0.3,0.3,19.15,1005.55,12.0,0.2,0.2
2022-02-27,10.3,852.9,9.5,0.3,0.3,13.35,873.65,10.2,0.4,0.4,11.25,850.3,8.9,0.0,0.0,18.75,1002.9,9.4,0.0,0.0
2022-02-28,10.85,851.1,8.7,0.0,0.0,13.5,871.7,11.3,0.0,0.0,11.45,848.35,6.4,0.0,0.0,19.2,1001.8,17.7,0.0,0.0
2022-03-01,12.4,853.65,9.4,0.0,0.0,13.6,873.0,7.7,0.0,0.0,11.1,849.65,7.4,0.0,0.0,18.3,1003.65,12.3,0.0,0.0
2022-03-02,11.0,852.6,9.8,0.5,0.5,13.6,873.1,10.2,3.1,3.1,11.7,849.75,9.2,0.2,0.2,18.75,1003.3,11.3,0.0,0.0
2022-03-03,13.55,852.65,13.0,0.2,0.2,15.05,872.5,8.2,0.4,0.4,12.75,849.35,10.7,1.2,1.2,19.7,1002.0,14.0,0.0,0.0
2022-03-04,12.25,851.35,10.8,0.0,0.0,13.8,871.8,11.4,0.0,0.0,13.5,848.55,10.3,0.0,0.0,20.75,999.6,25.4,0.0,0.0
2022-03-05,12.0,849.25,11.3,0.0,0.0,14.75,870.15,10.7,0.0,0.0,13.0,847.0,7.6,0.0,0.0,19.5,998.85,15.9,0.0,0.0
2022-03-06,14.75,852.1,10.7,0.0,0.0,15.55,871.85,9.0,0.0,0.0,14.25,848.95,7.2,0.0,0.0,20.45,1001.0,10.1,0.0,0.0
2022-03-07,17.05,854.6,11.2,0.0,0.0,17.7,873.95,6.9,0.0,0.0,16.4,851.45,7.4,0.0,0.0,22.7,1001.2,9.0,0.0,0.0
2022-03-08,16.15,852.5,12.4,0.0,0.0,18.2,872.8,6.2,0.4,0.4,16.45,850.45,9.7,0.1,0.1,22.75,998.95,11.7,0.0,0.0
2022-03-09,15.5,850.9,9.7,0.0,0.0,18.1,871.75,6.6,0.0,0.0,16.85,849.8,6.3,0.0,0.0,23.4,998.85,10.6,0.0,0.0
2022-03-10,16.2,851.85,9.2,0.2,0.2,17.75,871.55,6.6,1.1,1.1,16.4,849.05,7.4,0.0,0.0,23.15,998.4,9.7,0.0,0.0
2022-03-11,16.1,851.7,11.0,0.0,0.0,16.65,871.35,7.2,0.0,0.0,15.55,848.7,7.1,0.1,0.1,24.05,997.75,12.6,0.0,0.0
2022-03-12,16.35,850.5,8.9,0.0,0.0,17.1,870.5,9.9,0.3,0.3,16.2,848.1,6.6,0.0,0.0,23.55,997.05,12.3,0.0,0.0
2022-03-13,16.25,850.95,11.2,0.0,0.0,18.75,871.75,10.7,0.0,0.0,16.8,849.05,7.0,0.0,0.0,24.4,997.9,15.6,0.0,0.0
2022-03-14,16.85,851.7,10.4,0.0,0.0,19.25,872.25,6.5,0.0,0.0,17.85,850.25,8.3,0.0,0.0,25.15,997.65,12.2,0.0,0.0
2022-03-15,18.2,850.1,10.4,0.0,0.0,20.0,870.5,8.7,0.0,0.0,18.25,847.95,7.6,0.0,0.0,25.0,994.55,11.9,0.0,0.0
2022-03-16,18.0,847.8,10.0,0.0,0.0,19.4,868.15,7.2,2.2,2.2,17.4,845.6,7.1,0.4,0.4,25.9,993.25,7.4,0.0,0.0
2022-03-17,18.5,850.6,7.3,0.0,0.0,20.35,870.0,7.4,0.0,0.0,18.5,848.15,7.6,0.0,0.0,27.6,995.0,12.3,0.0,0.0
2022-03-18,19.5,852.05,9.1,0.0,0.0,21.2,871.95,8.9,0.0,0.0,19.85,849.8,7.7,0.0,0.0,28.1,995.25,10.5,0.0,0.0
2022-03-19,19.8,849.7,12.0,0.0,0.0,21.95,870.15,11.0,0.0,0.0,19.75,847.55,6.1,0.6,0.6,27.95,992.8,10.4,0.0,0.0
2022-03-20,19.7,847.85,11.0,0.0,0.0,21.45,868.45,9.7,0.0,0.0,19.95,846.05,8.6,0.7,0.7,27.55,991.95,15.8,0.0,0.0
2022-03-21,18.4,848.6,10.2,0.0,0.0,20.0,869.2,9.4,1.2,1.2,18.9,846.8,8.9,0.0,0.0,27.45,993.0,12.6,0.4,0.4
2022-03-22,18.15,849.15,12.7,0.9,0.9,19.85,869.65,7.7,1.2,1.2,18.15,847.5,7.4,0.1,0.1,28.1,993.95,14.9,0.6,0.6
2022-03-23,17.7,849.85,15.0,1.4,1.4,19.3,870.2,7.1,7.2,7.2,17.45,847.8,9.5,16.8,16.8,27.9,994.25,17.4,0.2,0.2
2022-03-24,16.35,847.55,10.5,4.7,4.7,17.1,867.4,10.0,2.0,2.0,16.35,845.25,9.0,1.4,1.4,26.3,992.3,17.1,0.0,0.0
2022-03-25,17.55,846.7,14.3,0.0,0.0,19.1,866.8,13.3,0.0,0.0,18.4,845.05,13.0,0.2,0.2,26.9,991.75,25.2,0.0,0.0
2022-03-26,17.3,847.65,12.0,0.0,0.0,20.0,868.25,11.8,0.0,0.0,17.65,845.9,8.5,0.1,0.1,25.65,993.55,17.5,0.0,0.0
2022-03-27,17.75,850.1,12.7,0.0,0.0,20.05,870.6,7.8,0.0,0.0,18.5,849.25,7.6,0.0,0.0,26.05,996.4,18.5,0.0,0.0
2022-03-28,18.1,850.55,7.8,0.0,0.0,18.65,870.3,8.2,0.0,0.0,16.2,847.9,4.8,0.0,0.0,27.9,994.85,17.8,0.0,0.0
2022-03-29,19.25,849.6,9.9,0.0,0.0,19.0,869.4,6.1,0.3,0.3,18.5,847.25,5.1,0.0,0.0,27.9,994.45,19.0,0.1,0.1
2022-03-30,16.4,849.3,5.0,17.4,17.4,18.8,869.65,4.0,9.4,9.4,16.9,847.2,3.3,10.7,10.7,27.85,995.65,18.6,0.0,0.0
2022-03-31,15.35,849.8,4.2,42.6,42.6,17.9,870.15,4.2,17.4,17.4,16.35,847.7,4.3,25.2,25.2,26.65,995.55,17.1,1.5,1.5
2022-04-01,17.15,849.1,9.7,6.8,6.8,19.6,869.6,9.4,4.6,4.6,18.15,847.05,5.3,4.2,4.2,27.4,994.65,16.4,0.0,0.0
2022-04-02,17.2,851.75,6.3,6.0,6.0,19.2,872.3,5.1,6.6,6.6,17.7,849.9,9.7,10.7,10.7,28.05,997.6,17.7,0.7,0.7
2022-04-03,18.45,851.15,12.7,1.4,1.4,18.85,871.85,10.1,2.2,2.2,17.45,849.05,5.9,0.4,0.4,27.05,996.0,15.0,2.9,2.9
2022-04-04,18.15,849.0,9.7,0.4,0.4,20.25,869.25,10.7,1.1,1.1,18.2,846.9,7.3,1.0,1.0,27.9,994.55,11.2,0.0,0.0
2022-04-05,18.65,852.7,10.8,0.0,0.0,20.1,872.9,8.9,0.9,0.9,18.7,850.8,6.2,1.2,1.2,29.65,997.8,15.3,0.0,0.0
2022-04-06,19.0,852.75,10.1,0.0,0.0,21.35,873.35,8.9,0.0,0.0,18.75,850.9,6.2,1.2,1.2,29.55,997.95,20.6,0.0,0.0
2022-04-07,17.95,853.05,9.4,1.5,1.5,19.95,873.85,7.6,2.8,2.8,17.35,850.85,6.4,2.3,2.3,28.1,998.5,19.8,0.2,0.2
2022-04-08,16.2,851.0,6.3,0.8,0.8,18.7,871.6,8.0,1.1,1.1,17.95,849.2,5.9,8.7,8.7,28.35,995.75,16.5,0.7,0.7
2022-04-09,17.1,849.9,6.9,9.9,9.9,19.45,870.7,8.0,4.3,4.3,17.2,847.8,6.3,6.2,6.2,28.5,994.7,18.9,0.2,0.2
2022-04-10,16.7,848.45,9.4,2.6,2.6,18.7,868.75,8.4,1.4,1.4,17.5,846.6,4.7,0.9,0.9,26.1,994.05,18.3,3.7,3.7
2022-04-11,17.85,848.1,8.7,0.0,0.0,19.6,868.6,9.2,0.0,0.0,18.25,846.2,5.5,0.1,0.1,27.05,993.15,16.1,0.1,0.1
2022-04-12,17.15,849.3,9.5,6.9,6.9,19.7,869.7,4.9,4.5,4.5,18.0,847.25,5.1,5.5,5.5,28.75,993.5,18.3,0.0,0.0
2022-04-13,18.3,848.3,8.7,9.1,9.1,20.35,868.65,10.5,6.2,6.2,19.5,846.3,8.6,4.8,4.8,29.5,991.4,20.8,0.0,0.0
2022-04-14,19.75,846.65,15.5,0.0,0.0,21.85,867.15,14.0,0.0,0.0,19.7,844.8,9.5,0.0,0.0,29.75,989.05,22.9,0.0,0.0
2022-04-15,18.8,845.8,10.9,0.0,0.0,21.6,866.35,10.8,0.0,0.0,19.45,844.55,7.2,0.2,0.2,28.5,989.15,22.0,0.0,0.0
2022-04-16,18.8,846.15,9.7,0.0,0.0,21.1,866.5,11.5,0.0,0.0,19.85,845.15,8.5,0.0,0.0,28.5,989.45,23.1,0.0,0.0
2022-04-17,18.65,846.75,10.9,0.0,0.0,21.35,867.45,12.7,0.0,0.0,19.5,845.85,7.5,0.1,0.1,28.35,990.9,14.9,0.0,0.0
2022-04-18,19.45,848.85,10.5,0.0,0.0,22.15,869.8,10.7,0.0,0.0,19.95,847.95,8.0,0.0,0.0,29.7,993.4,20.1,0.0,0.0
2022-04-19,18.45,851.0,7.2,2.4,2.4,20.95,871.8,8.6,0.4,0.4,18.85,849.15,8.2,2.9,2.9,30.1,994.75,20.3,0.0,0.0
2022-04-20,17.2,849.75,6.5,15.3,15.3,19.7,870.05,8.4,7.1,7.1,17.75,847.6,9.2,17.1,17.1,28.35,994.95,27.8,0.0,0.0
2022-04-21,18.45,850.75,8.9,3.3,3.3,20.15,870.6,6.4,2.8,2.8,18.35,848.3,9.7,1.8,1.8,29.2,994.05,16.8,0.0,0.0
2022-04-22,17.25,850.5,9.5,7.1,7.1,19.45,870.65,9.3,0.5,0.5,18.35,848.0,8.6,0.4,0.4,28.85,994.45,13.6,1.5,1.5
2022-04-23,18.55,849.05,10.8,0.0,0.0,20.7,869.65,12.7,0.0,0.0,19.6,847.2,11.6,0.1,0.1,29.65,993.05,24.2,0.0,0.0
2022-04-24,20.0,847.25,12.6,0.0,0.0,21.75,867.45,11.8,0.0,0.0,20.65,845.7,9.0,0.9,0.9,28.25,990.55,17.7,0.0,0.0
2022-04-25,19.8,846.65,10.5,0.0,0.0,21.85,867.0,9.4,0.0,0.0,20.15,845.3,8.4,0.1,0.1,28.05,990.9,13.0,0.0,0.0
2022-04-26,20.05,848.8,13.7,0.1,0.1,22.1,868.8,15.8,0.1,0.1,20.35,847.0,8.4,0.1,0.1,29.85,992.05,16.6,0.8,0.8
2022-04-27,19.35,848.5,10.4,0.0,0.0,22.4,869.2,12.2,0.0,0.0,21.5,847.7,8.0,0.0,0.0,28.95,992.05,16.3,0.0,0.0
2022-04-28,18.6,849.7,9.0,2.6,2.6,22.0,870.7,8.3,4.6,4.6,20.05,848.15,10.2,0.8,0.8,30.45,994.1,17.1,0.1,0.1
2022-04-29,19.0,849.2,7.4,0.0,0.0,20.95,869.6,7.4,1.3,1.3,18.85,847.15,9.9,5.8,5.8,29.45,991.85,19.4,4.0,4.0
2022-04-30,18.1,847.9,11.0,9.3,9.3,19.8,868.2,7.9,15.0,15.0,16.65,845.65,10.2,26.5,26.5,28.5,992.95,21.1,2.6,2.6
2022-05-01,17.4,848.3,9.3,15.9,15.9,18.65,868.5,8.0,24.3,24.3,16.25,846.2,8.4,10.4,10.4,26.6,992.65,19.4,12.3,12.3
2022-05-02,18.1,848.4,8.3,8.4,8.4,19.8,868.55,8.3,8.1,8.1,17.95,846.3,9.8,10.3,10.3,26.85,992.3,24.0,10.2,10.2
2022-05-03,19.35,849.45,8.8,0.1,0.1,19.05,868.85,7.1,2.0,2.0,17.8,846.7,5.6,1.2,1.2,26.3,993.55,18.5,5.2,5.2
2022-05-04,16.8,850.15,6.8,8.0,8.0,19.35,870.4,7.0,21.4,21.4,17.5,848.2,7.4,19.2,19.2,27.05,995.5,18.6,0.3,0.3
2022-05-05,16.9,849.75,6.9,21.6,21.6,19.25,870.15,5.8,10.2,10.2,17.65,847.65,7.5,14.0,14.0,27.0,995.0,15.1,6.3,6.3
2022-05-06,16.45,849.95,5.4,15.0,15.0,19.5,870.6,6.9,18.7,18.7,18.05,848.2,7.3,29.0,29.0,27.65,994.45,17.1,1.3,1.3
2022-05-07,17.1,850.15,7.9,18.8,18.8,19.5,870.5,6.6,8.9,8.9,18.05,848.35,6.5,1.2,1.2,27.15,993.8,18.8,2.3,2.3
2022-05-08,18.15,850.0,15.3,4.4,4.4,20.6,870.2,7.4,11.5,11.5,18.85,847.95,9.5,4.5,4.5,27.9,993.2,12.6,0.5,0.5
2022-05-09,17.85,849.55,10.9,0.3,0.3,20.8,870.0,6.3,0.9,0.9,19.35,847.75,7.8,0.0,0.0,28.5,993.0,14.4,0.0,0.0
2022-05-10,18.7,849.3,7.9,0.2,0.2,20.85,869.75,7.6,1.3,1.3,19.25,847.6,6.3,11.0,11.0,28.85,992.7,19.9,0.0,0.0
2022-05-11,19.6,847.95,6.9,0.1,0.1,21.45,868.1,6.9,4.1,4.1,19.85,846.25,5.9,1.7,1.7,29.15,990.3,18.7,0.0,0.0
2022-05-12,19.55,847.2,11.2,0.0,0.0,21.5,867.55,5.9,1.4,1.4,19.6,845.2,6.5,0.9,0.9,29.5,989.35,16.9,2.4,2.4
2022-05-13,19.35,844.55,9.1,8.7,8.7,21.25,864.65,7.2,3.6,3.6,19.4,842.4,8.4,11.8,11.8,28.95,986.55,17.7,9.7,9.7
2022-05-14,20.2,844.05,9.0,1.6,1.6,22.0,864.2,7.8,6.0,6.0,20.15,842.2,7.9,4.2,4.2,27.7,988.25,15.2,17.2,17.2
2022-05-15,19.3,846.15,9.2,17.9,17.9,21.8,866.6,5.7,22.5,22.5,20.25,844.85,5.7,14.7,14.7,30.15,988.85,15.0,4.8,4.8
2022-05-16,20.35,846.65,10.5,37.9,37.9,22.5,867.25,9.7,12.6,12.6,19.95,844.8,9.3,13.8,13.8,29.0,989.3,21.4,6.6,6.6
2022-05-17,20.55,846.8,9.0,2.8,2.8,21.85,866.8,11.2,0.0,0.0,21.5,844.7,9.7,0.5,0.5,29.4,988.65,14.8,0.0,0.0
2022-05-18,20.3,847.5,6.6,6.6,6.6,21.65,867.95,8.9,0.6,0.6,19.65,845.5,11.3,0.9,0.9,29.95,989.35,13.0,1.9,1.9
2022-05-19,19.6,847.85,7.8,0.0,0.0,21.3,867.9,10.5,2.1,2.1,19.2,845.5,6.4,3.4,3.4,30.4,989.65,23.3,2.1,2.1
2022-05-20,19.5,846.05,6.2,27.4,27.4,20.9,866.7,8.3,27.5,27.5,18.8,844.3,7.5,16.3,16.3,29.65,989.4,19.0,1.0,1.0
2022-05-21,19.05,843.3,10.2,23.6,23.6,21.35,863.65,10.6,15.2,15.2,19.45,841.4,8.5,8.5,8.5,28.15,986.5,17.5,15.2,15.2
2022-05-22,18.7,842.7,10.2,3.5,3.5,21.0,862.4,8.7,1.1,1.1,18.25,840.25,8.0,0.9,0.9,27.25,986.45,17.3,4.5,4.5
2022-05-23,17.85,844.15,11.5,12.4,12.4,20.4,864.35,7.5,6.5,6.5,17.8,842.1,9.1,2.7,2.7,27.15,988.45,9.1,4.2,4.2
2022-05-24,18.45,847.9,8.0,0.5,0.5,20.4,867.55,7.3,2.9,2.9,18.6,845.2,7.7,1.4,1.4,28.3,991.75,10.3,0.4,0.4
2022-05-25,17.7,848.8,6.5,3.9,3.9,19.15,868.7,6.0,2.1,2.1,16.8,846.25,5.4,2.1,2.1,27.5,991.85,10.9,0.0,0.0
2022-05-26,17.75,847.2,9.3,2.8,2.8,18.9,867.15,8.0,4.6,4.6,17.55,844.8,7.4,1.5,1.5,27.6,990.45,11.3,0.0,0.0
2022-05-27,20.15,846.2,8.6,0.5,0.5,20.1,865.75,8.9,4.5,4.5,18.95,843.6,6.6,11.1,11.1,29.0,988.0,12.2,0.0,0.0
2022-05-28,19.1,844.75,7.4,10.9,10.9,20.5,865.05,7.4,4.7,4.7,18.75,842.65,6.5,8.0,8.0,28.7,987.8,18.0,21.5,21.5
2022-05-29,17.85,845.15,6.8,5.0,5.0,20.15,865.35,6.6,5.2,5.2,19.0,843.45,10.2,8.2,8.2,27.9,988.75,14.6,17.8,17.8
2022-05-30,19.15,846.15,6.3,1.7,1.7,21.35,866.45,5.3,1.6,1.6,19.8,844.4,7.7,9.2,9.2,28.45,989.4,15.3,21.8,21.8
2022-05-31,19.6,846.05,5.9,0.2,0.2,21.35,865.9,5.1,5.2,5.2,19.45,843.75,7.1,8.9,8.9,29.15,987.85,13.3,0.6,0.6
2022-06-01,19.5,845.85,9.9,3.3,3.3,21.2,866.25,7.1,2.5,2.5,20.25,844.2,7.6,3.0,3.0,29.55,988.0,14.7,0.2,0.2
2022-06-02,20.3,846.2,7.9,5.4,5.4,21.4,866.1,5.8,4.2,4.2,20.05,844.05,6.0,4.2,4.2,29.85,987.95,15.4,10.6,10.6
2022-06-03,19.75,845.2,10.3,3.2,3.2,21.65,865.25,8.6,0.7,0.7,20.2,843.3,8.3,0.6,0.6,29.3,987.75,18.3,7.1,7.1
